,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-01-09,148.96098336876,125.83756731415896,181.67423646723526,148.96098336876,148.96098336876,4.858815854017003,4.858815854017003,4.858815854017003,4.858815854017003,4.858815854017003,4.858815854017003,0.0,0.0,0.0,153.819799222777
1,2023-01-10,149.36383913013645,128.21557267334973,185.6336415527843,149.36383913013645,149.36383913013645,6.95278955895647,6.95278955895647,6.95278955895647,6.95278955895647,6.95278955895647,6.95278955895647,0.0,0.0,0.0,156.31662868909294
2,2023-01-11,149.76669489151288,126.03588443342957,184.16259721404938,149.76669489151288,149.76669489151288,6.403556996553944,6.403556996553944,6.403556996553944,6.403556996553944,6.403556996553944,6.403556996553944,0.0,0.0,0.0,156.17025188806682
3,2023-01-12,150.16955065288934,128.61714346714638,182.11130270937193,150.16955065288934,150.16955065288934,5.389365609303483,5.389365609303483,5.389365609303483,5.389365609303483,5.389365609303483,5.389365609303483,0.0,0.0,0.0,155.55891626219284
4,2023-01-13,150.57240641426577,127.19046270699955,184.60991200443814,150.57240641426577,150.57240641426577,5.867530937206807,5.867530937206807,5.867530937206807,5.867530937206807,5.867530937206807,5.867530937206807,0.0,0.0,0.0,156.43993735147257
5,2023-01-17,152.18382945977152,130.1996951728536,187.63983429048147,152.18382945977152,152.18382945977152,6.952789558961345,6.952789558961345,6.952789558961345,6.952789558961345,6.952789558961345,6.952789558961345,0.0,0.0,0.0,159.13661901873286
6,2023-01-18,152.586685221148,130.76256781169434,186.69692224013716,152.586685221148,152.586685221148,6.403556996553851,6.403556996553851,6.403556996553851,6.403556996553851,6.403556996553851,6.403556996553851,0.0,0.0,0.0,158.99024221770185
7,2023-01-19,152.9895409825244,130.90847288580076,185.3637428335849,152.9895409825244,152.9895409825244,5.389365609303126,5.389365609303126,5.389365609303126,5.389365609303126,5.389365609303126,5.389365609303126,0.0,0.0,0.0,158.37890659182753
8,2023-01-20,153.39239674390086,130.88037165543028,185.8598310979901,153.39239674390086,153.39239674390086,5.867530937193728,5.867530937193728,5.867530937193728,5.867530937193728,5.867530937193728,5.867530937193728,0.0,0.0,0.0,159.25992768109458
9,2023-01-23,154.6009638738963,131.01698536975243,186.23687419588427,154.6009638738963,154.6009638738963,4.858815853983105,4.858815853983105,4.858815853983105,4.858815853983105,4.858815853983105,4.858815853983105,0.0,0.0,0.0,159.4597797278794
